n,merge,mergeTh,amount
10000,7.3294,7.4638,0
10000,7.3294,9.5393,2
10000,7.3294,11.984,4
10000,7.3294,13.356,6
10000,7.3294,16.459,8
10000,7.3294,17.988,10
10000,7.3294,20.375,12
10000,7.3294,22.712,14
10000,7.3294,24.614,16
10000,7.3294,25.906,18
10000,7.3294,28.01,20
10000,7.3294,29.828,22
10000,7.3294,31.518,24
10000,7.3294,33.263,26
10000,7.3294,34.852,28
10000,7.3294,36.978,30
10000,7.3294,38.996,32
10000,7.3294,40.473,34
10000,7.3294,42.193,36
10000,7.3294,43.957,38
10000,7.3294,45.684,40
10000,7.3294,47.507,42
10000,7.3294,48.947,44
10000,7.3294,51.444,46
10000,7.3294,52.467,48
